animalID,sex,LMT_Date,LMT_Time,easting,northing,herdID,lat,long
S365,F,20150327,0:00:00,291937,4176270,Ca,37.710073,-119.360377
S366,F,20150327,0:00:00,292137,4176059,Ca,37.708218,-119.358050
S367,F,20150327,0:00:00,292145,4176075,Ca,37.708364,-119.357964
S370,F,20150327,0:00:00,291699,4176374,Ca,37.710955,-119.363105
S373,F,20150327,0:00:14,292077.3,4176115,Ca,37.708708,-119.358743
S372,F,20150327,0:00:24,291643.6,4176348,Ca,37.710708,-119.363726
S368,F,20150327,0:00:40,292157,4176131,Ca,37.708871,-119.357844
S371,F,20150327,0:01:34,291893.4,4176214,Ca,37.709558,-119.360856
S367,F,20150327,4:00:00,292156,4176075,Ca,37.708366,-119.357839
S370,F,20150327,4:00:00,291680,4176393,Ca,37.711122,-119.363326
S368,F,20150327,4:00:41,292160,4176140,Ca,37.708952,-119.357812
S366,F,20150327,8:00:00,292181,4176151,Ca,37.709056,-119.357578
S367,F,20150327,8:00:00,292226,4176112,Ca,37.708715,-119.357056
S370,F,20150327,8:00:00,291725,4176327,Ca,37.710538,-119.362797
S368,F,20150327,8:00:56,292161,4176131,Ca,37.708872,-119.357799
S367,F,20150327,12:00:00,292206,4176225,Ca,37.709728,-119.357315
S370,F,20150327,12:00:00,291471,4176705,Ca,37.713884,-119.365784
S372,F,20150327,12:00:33,291466.4,4176723,Ca,37.714045,-119.365842
S368,F,20150327,12:00:38,292197,4176218,Ca,37.709663,-119.357415
S373,F,20150327,12:00:51,292196.1,4176222,Ca,37.709699,-119.357427
S365,F,20150327,16:00:00,292265,4176357,Ca,37.710930,-119.356684
S366,F,20150327,16:00:00,292258,4176190,Ca,37.709425,-119.356716
S367,F,20150327,16:00:00,292241,4176160,Ca,37.709151,-119.356900
S370,F,20150327,16:00:00,291443,4176896,Ca,37.715598,-119.366157
S368,F,20150327,16:01:02,292245,4176169,Ca,37.709233,-119.356857
S367,F,20150327,20:00:00,292212,4176159,Ca,37.709135,-119.357228
S370,F,20150327,20:00:00,291307,4177069,Ca,37.717125,-119.367748
S368,F,20150327,20:01:08,292220,4176176,Ca,37.709290,-119.357143
S367,F,20150328,0:00:00,291401,4176014,Ca,37.707645,-119.366380
S370,F,20150328,0:00:00,291301,4177052,Ca,37.716970,-119.367811
S368,F,20150328,0:00:39,292218,4176176,Ca,37.709290,-119.357165
S372,F,20150328,0:00:51,291293.4,4177046,Ca,37.716915,-119.367896
S373,F,20150328,0:00:55,292266.7,4176191,Ca,37.709436,-119.356618
S375,F,20150328,0:00:57,292647.8,4175268,Ca,37.701210,-119.352035
S370,F,20150328,4:00:00,291303,4177063,Ca,37.717070,-119.367792
S366,F,20150328,8:00:00,292217,4176171,Ca,37.709244,-119.357175
S367,F,20150328,8:00:00,292231,4176176,Ca,37.709293,-119.357018
S370,F,20150328,8:00:00,291345,4177054,Ca,37.716998,-119.367313
S368,F,20150328,8:01:09,292220,4176175,Ca,37.709281,-119.357142
S367,F,20150328,12:00:00,292200,4176175,Ca,37.709277,-119.357369
S370,F,20150328,12:00:00,291296,4177032,Ca,37.716789,-119.367862
S372,F,20150328,12:01:03,291299.3,4177030,Ca,37.716772,-119.367824
S368,F,20150328,12:01:10,292185,4176175,Ca,37.709273,-119.357539
S371,F,20150328,12:01:33,293257.5,4175365,Ca,37.702221,-119.345152
S375,F,20150328,12:01:55,292742.5,4175350,Ca,37.701970,-119.350985
S365,F,20150328,16:00:00,292263,4176445,Ca,37.711722,-119.356732
S366,F,20150328,16:00:00,292229,4176168,Ca,37.709220,-119.357038
S367,F,20150328,16:00:00,292226,4176163,Ca,37.709174,-119.357071
S370,F,20150328,16:00:00,291302,4177065,Ca,37.717088,-119.367804
